Pelvis,SpineNavel,SpineChest,Neck,ClavicleLeft,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,ClavicleRight,ShoulderRight,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,Head,Nose,EyeLeft,EarLeft,EyeRight,EarRight
0.108471 0.28940737 1.2758763,0.10532978 0.114558965 1.2327564,0.0964132 -0.026301267 1.2042474,0.08705284 -0.24139363 1.163144,0.11199 -0.21176802 1.1939524,0.21230051 -0.18476869 1.2941399,0.23287329 0.07369758 1.3971288,0.2894878 0.30090678 1.3979189,0.30668277 0.3934983 1.4220419,0.27719167 0.39879444 1.3171482,0.2712186 0.37455794 1.2910798,0.063797645 -0.20017716 1.1474859,-0.018177263 -0.1286358 1.071395,-0.030823532 0.1548776 1.0877628,-0.0024393944 0.39023292 1.082378,0.017628498 0.4921072 1.0956235,-0.023579556 0.57238716 1.1535437,0.04073393 0.49919316 1.1007227,0.17162958 0.27230436 1.340627,0.19398434 0.6610473 1.4489408,0.12801975 1.0086126 1.6040037,0.23207706 1.1640494 1.5760235,0.051518135 0.30482993 1.217488,0.049967553 0.7046853 1.2732967,-0.01684023 1.0576167 1.4260355,0.05077507 1.206381 1.3662214,0.09309785 -0.31982017 1.1383667,0.16230342 -0.36558226 0.9989596,0.1690915 -0.3996857 1.0435023,0.1707252 -0.38409472 1.1705247,0.12395069 -0.39649534 1.0163301,0.020012721 -0.38579127 1.0974425
0.1126227 0.2885084 1.2801337,0.10988665 0.11371352 1.23842,0.10131926 -0.027090743 1.211127,0.09189406 -0.24220468 1.1727722,0.11715044 -0.2122291 1.2028003,0.21695696 -0.18510424 1.3030074,0.23293193 0.07444711 1.4023846,0.28878745 0.30124587 1.3964646,0.30305222 0.3928899 1.4248857,0.2775459 0.4013349 1.3194008,0.267151 0.38220876 1.2966563,0.06836753 -0.20131521 1.1570058,-0.01592543 -0.13119751 1.0826433,-0.029892989 0.15174782 1.0969561,0.004374221 0.38554534 1.0847923,0.021532223 0.48835295 1.0915242,-0.0046628565 0.56481165 1.1616373,0.044524442 0.49651682 1.0882771,0.17626756 0.2721931 1.3443258,0.19720128 0.66104364 1.4492201,0.13003883 1.0079772 1.6030971,0.23222388 1.1638998 1.57372,0.055231325 0.30322057 1.2222489,0.05245776 0.7026259 1.274819,-0.015269678 1.0550057 1.4262627,0.050576456 1.2037165 1.3654459,0.09775219 -0.3207332 1.1488829,0.17056268 -0.37480885 1.014799,0.17552012 -0.4063771 1.0612558,0.17337105 -0.38379532 1.1869339,0.13139123 -0.4042341 1.0325819,0.025333714 -0.38796076 1.1094464
0.12641557 0.2786568 1.2712891,0.1186706 0.10428949 1.241722,0.11694547 -0.03253986 1.2056155,0.09909604 -0.24538897 1.1775964,0.13023993 -0.21516415 1.1995502,0.2465775 -0.18410033 1.2745243,0.22572112 0.07236815 1.369273,0.26908758 0.28901464 1.304858,0.28838444 0.3372149 1.3850691,0.27110153 0.42071688 1.3200725,0.254882 0.41403535 1.2848297,0.072894305 -0.20543787 1.1667488,-0.015549429 -0.13322702 1.103568,-0.023935588 0.14572003 1.1169268,0.015403936 0.3733228 1.0858712,0.018206801 0.475348 1.0987947,0.032649484 0.57221353 1.1377212,0.04398093 0.49387622 1.0796403,0.2117526 0.26998577 1.3000716,0.24526693 0.6572854 1.3817693,0.21396458 0.9841703 1.5722718,0.2715976 1.1426947 1.4941461,0.049463414 0.28647587 1.2453346,0.033451363 0.6765386 1.316425,0.017913152 1.0223851 1.4817177,0.03401134 1.1622005 1.3845408,0.099181145 -0.32344368 1.155747,0.18408895 -0.37942946 1.032949,0.1866339 -0.40790322 1.0805659,0.17317724 -0.37964657 1.2024016,0.1456136 -0.40947196 1.048843,0.034572132 -0.39514396 1.1149226
0.12589161 0.26264706 1.2778023,0.1245911 0.09028137 1.2566378,0.12681574 -0.044706404 1.2242495,0.11340897 -0.2545335 1.2028981,0.14408806 -0.22359417 1.2223412,0.26114142 -0.19081767 1.290076,0.22813016 0.06542103 1.3649935,0.26137853 0.27254403 1.2815174,0.26341608 0.34464884 1.3413743,0.24577409 0.40441296 1.2566364,0.22470874 0.3778411 1.2289525,0.086303525 -0.21626657 1.1923643,-0.0022131654 -0.1481883 1.1297686,-0.01513972 0.12523061 1.1438918,0.016298253 0.35021266 1.118064,0.022836056 0.4438189 1.1552272,0.031879548 0.5372178 1.1986315,0.074052244 0.4625014 1.1512139,0.2127962 0.2598029 1.2956254,0.22834863 0.6435169 1.3618506,0.21082887 0.97946906 1.5216432,0.25311175 1.1271402 1.4233527,0.047525913 0.26521176 1.2617306,0.02474345 0.6442841 1.3473018,0.017564371 0.9837897 1.5095437,0.014416948 1.1206936 1.4125997,0.11451113 -0.33162683 1.1834495,0.19685516 -0.38477153 1.0615393,0.19881658 -0.41400322 1.1074768,0.1860596 -0.38930085 1.2277076,0.15857032 -0.41396192 1.0763243,0.049876958 -0.39968398 1.1415029
0.12873398 0.2569512 1.2838813,0.12940054 0.08565445 1.263963,0.13321546 -0.048702598 1.2332875,0.12037356 -0.25729132 1.2141249,0.15053158 -0.22633502 1.2335414,0.26701835 -0.19679047 1.3017485,0.2336231 0.06436469 1.3468726,0.25944084 0.27455923 1.2732801,0.24787706 0.34183347 1.3365594,0.24660577 0.42976218 1.2801998,0.22197303 0.3837702 1.235901,0.09358204 -0.21943076 1.2028705,0.0053994134 -0.15447205 1.1383401,-0.009457757 0.116726965 1.1559229,0.019385144 0.34104794 1.1361006,0.02876059 0.43667397 1.1645952,0.058375396 0.5251618 1.2074107,0.061739013 0.45961538 1.1509525,0.21481878 0.25509694 1.3027087,0.25026193 0.639853 1.3240812,0.23267075 0.9763557 1.4764959,0.27799827 1.122144 1.3791106,0.051107533 0.2586233 1.2669038,0.022151306 0.6366299 1.3424064,0.011346031 0.96545786 1.5196685,0.009025029 1.1053759 1.4292448,0.12180741 -0.3340472 1.19565,0.1986717 -0.38851097 1.072151,0.20207888 -0.41715378 1.117925,0.19399449 -0.39148533 1.2374749,0.16100436 -0.41707087 1.088479,0.05563269 -0.40148705 1.1569909
0.12623018 0.24904244 1.2808797,0.13085355 0.079203635 1.2676508,0.13873819 -0.05382645 1.2393317,0.12706165 -0.26031286 1.224019,0.15610564 -0.22928314 1.2436583,0.2713855 -0.19769894 1.309681,0.24308524 0.06372352 1.332827,0.2596734 0.27569693 1.2705674,0.23439786 0.36033124 1.2962306,0.23763415 0.46342245 1.3001187,0.2155653 0.37819344 1.2472874,0.10094511 -0.22318552 1.2112174,0.014652401 -0.15848102 1.1468163,0.00037535 0.109655365 1.162269,0.021983866 0.33265853 1.1505497,0.032521397 0.42578402 1.182565,0.05187747 0.51784647 1.2205479,0.055714767 0.45380828 1.1573447,0.21096998 0.24978219 1.3009981,0.19185577 0.6314028 1.3163303,0.14969146 0.97633827 1.4294873,0.19163631 1.1075487 1.3152624,0.049816564 0.24837537 1.2627382,0.007708654 0.62042856 1.3383918,-0.014142264 0.9450395 1.513143,-0.021353573 1.0820503 1.4221306,0.12925391 -0.33650303 1.207324,0.20397222 -0.39291304 1.085689,0.20576726 -0.42152518 1.1308186,0.19780865 -0.39635244 1.2490002,0.16547123 -0.41963354 1.1013758,0.0614865 -0.40020964 1.1682582
0.12879786 0.23755927 1.2873027,0.13229671 0.0714574 1.2725905,0.14027432 -0.058207303 1.2425427,0.13138196 -0.26045233 1.227911,0.15953094 -0.22968768 1.2469097,0.2748183 -0.19817607 1.3067143,0.26036647 0.05945842 1.2940853,0.256042 0.27452022 1.2667592,0.22452763 0.35838994 1.2755238,0.23379405 0.4556214 1.3013095,0.2265815 0.3851766 1.2489425,0.10527225 -0.22446914 1.2154928,0.017080424 -0.16290292 1.1559292,0.003311783 0.099785775 1.1658416,0.025462417 0.3176672 1.1499697,0.03336247 0.40989435 1.1787281,0.05749084 0.5016666 1.2079693,0.06261165 0.43283838 1.162051,0.21082866 0.23723377 1.3104864,0.1706875 0.60795516 1.2783862,0.11383185 0.9450766 1.3835264,0.14894968 1.0699663 1.2658678,0.05482705 0.2378528 1.266397,0.0012770034 0.6053342 1.3095773,-0.030269526 0.91589606 1.4917859,-0.041261725 1.0497814 1.4027944,0.13439436 -0.33501077 1.2116624,0.2059396 -0.39624506 1.0946176,0.20758176 -0.42238837 1.1399167,0.20090476 -0.3927965 1.2544856,0.16798654 -0.4211725 1.1112823,0.06692959 -0.39793515 1.1764839
0.13022901 0.23595297 1.2902352,0.1332488 0.06965645 1.2802107,0.1442328 -0.059440017 1.2492568,0.13603824 -0.26140293 1.2331479,0.16373724 -0.23074035 1.2528518,0.27974942 -0.20099008 1.3118597,0.27209413 0.05658421 1.2973592,0.26381844 0.2728962 1.2892538,0.22876164 0.35564417 1.2927263,0.2443942 0.45244175 1.316614,0.23205331 0.37890252 1.2606276,0.11011656 -0.22542408 1.2204933,0.01985532 -0.16424324 1.1639577,0.003562443 0.09814213 1.1707528,0.025643282 0.31538677 1.149829,0.03551782 0.4082365 1.1754875,0.054351382 0.5001767 1.2076184,0.065956086 0.430893 1.159666,0.21002352 0.23560853 1.3199867,0.162008 0.6014014 1.2592223,0.088256136 0.93878436 1.3509895,0.13264067 1.0600113 1.2328866,0.058274798 0.23626356 1.2634069,0.00066628685 0.6052809 1.266402,-0.048326388 0.91238916 1.449903,-0.051600836 1.04628 1.3605869,0.13950312 -0.33577356 1.2164847,0.21123016 -0.40188178 1.1024293,0.2135507 -0.42556563 1.1489751,0.20710073 -0.39015576 1.2617731,0.17380986 -0.42645842 1.1206135,0.07289062 -0.4014184 1.1851323
0.12620695 0.2272125 1.2963935,0.13552001 0.062932014 1.286292,0.15168293 -0.06512296 1.2596458,0.1432479 -0.2645589 1.2396429,0.16940731 -0.23479979 1.2615843,0.28247768 -0.21926245 1.3280858,0.2904167 0.03580886 1.3370265,0.31248984 0.24775214 1.3141071,0.24157014 0.29939303 1.2992479,0.28585812 0.37429917 1.3482068,0.2524594 0.34307176 1.2783678,0.118834175 -0.22853172 1.2259469,0.032182068 -0.16701198 1.1670055,0.014597962 0.09254262 1.1711361,0.037460748 0.30737695 1.1504906,0.037359934 0.40017125 1.1743193,0.060093146 0.4926905 1.1978852,0.07044137 0.41910034 1.1671993,0.20231059 0.22930732 1.3324889,0.13575895 0.5811485 1.2396252,0.05450341 0.90954775 1.3422816,0.10236685 1.0362439 1.2344675,0.057580948 0.22532351 1.2638447,0.0002986975 0.58811665 1.2232182,-0.059510484 0.89675534 1.3929102,-0.049996875 1.0271485 1.3019499,0.14730117 -0.3378737 1.2221487,0.22139159 -0.40888357 1.1148386,0.22162795 -0.4304051 1.1618682,0.21165513 -0.39066777 1.2716124,0.18336536 -0.43192247 1.1324106,0.08161346 -0.40315494 1.1913733
0.124703646 0.22398771 1.2996821,0.13558918 0.060642734 1.2908831,0.15381987 -0.066620335 1.2653925,0.1455527 -0.26462772 1.2424276,0.17136285 -0.23537919 1.2649467,0.28472942 -0.2232902 1.3302035,0.28864858 0.0291861 1.3571563,0.3188019 0.23739074 1.3229783,0.24845451 0.28930503 1.3093356,0.29367298 0.36491948 1.3551316,0.26860437 0.35123914 1.3156307,0.12142252 -0.2285853 1.2291116,0.03457015 -0.16710863 1.171823,0.015212977 0.09088981 1.1751844,0.036643848 0.3046807 1.1547372,0.04036856 0.3961531 1.1811271,0.05168583 0.48679572 1.2155027,0.075426266 0.41987786 1.1677275,0.19890365 0.22684132 1.3385029,0.13616505 0.5743628 1.2353994,0.04957127 0.8976509 1.3430861,0.101043984 1.0274687 1.2424158,0.05779423 0.22141449 1.2646759,0.006864149 0.5780696 1.1922207,-0.05909128 0.8907749 1.3474294,-0.043036424 1.0172834 1.2534875,0.14972705 -0.33726895 1.2239721,0.22484279 -0.41113055 1.1204998,0.2253194 -0.4305099 1.1681418,0.21447179 -0.3865406 1.275474,0.18737148 -0.4339074 1.1388712,0.08557235 -0.40452558 1.1960535
