Pelvis,SpineNavel,SpineChest,Neck,ClavicleLeft,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,ClavicleRight,ShoulderRight,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,FootRight,Head,Nose,EyeLeft,EarLeft,EyeRight,EarRight
-0.0031308765 -0.17032118 1.7348484,-0.005411175 -0.32933688 1.685395,-0.0063160914 -0.45640764 1.6456529,-0.0053102486 -0.65507054 1.6055623,-0.0014095168 -0.62867284 1.6427317,0.059522428 -0.623246 1.7613324,0.24444258 -0.45486808 1.824588,0.43241882 -0.376458 1.7511325,0.5216012 -0.36755267 1.7442404,0.6032908 -0.3262131 1.7019012,0.47700644 -0.28095496 1.719757,-0.011461389 -0.6159089 1.5820466,-0.010969974 -0.55929303 1.4731154,0.20760363 -0.41443673 1.4548973,0.4256028 -0.41082388 1.4780617,0.51900953 -0.4253237 1.4988619,0.613777 -0.44806346 1.5170951,0.52361023 -0.42017886 1.4642918,0.016137563 -0.19519448 1.8139391,0.05682165 0.17612544 1.8024944,-0.021327928 0.524434 1.8141541,0.11947589 0.6019994 1.8830166,-0.020506073 -0.14789183 1.6635288,-0.0028494075 0.21785955 1.7361813,-0.09073773 0.56246793 1.7976695,0.003999181 0.67883563 1.8557457,0.0074188514 -0.72834843 1.5887322,0.14977948 -0.76534605 1.5593017,0.12302051 -0.7970221 1.5910935,0.031774066 -0.7840905 1.6653358,0.11638632 -0.7960632 1.5427485,-0.0025730876 -0.7925029 1.5145416
-0.0031293435 -0.17032196 1.7348487,-0.005409676 -0.32933795 1.6853952,-0.0063146385 -0.45640895 1.6456531,-0.0053090462 -0.6550722 1.6055624,-0.0014081984 -0.62867445 1.6427318,0.05952836 -0.62325 1.7613306,0.2444664 -0.45488727 1.8245761,0.43244374 -0.3764902 1.7511084,0.5216265 -0.36759162 1.74421,0.6033163 -0.32625747 1.7018656,0.47703648 -0.28098983 1.7197315,-0.011460223 -0.61591053 1.5820467,-0.010969171 -0.55929375 1.4731157,0.20760463 -0.4144367 1.4548991,0.4256044 -0.41082153 1.4780614,0.51901215 -0.42532226 1.4988574,0.6137757 -0.4480795 1.5170904,0.52361095 -0.4201757 1.4642855,0.01613921 -0.19519527 1.8139396,0.0568275 0.17612492 1.8024957,-0.021313965 0.52443606 1.8141539,0.11949867 0.6019987 1.8830023,-0.020504646 -0.1478926 1.663529,-0.0028481875 0.21785942 1.736182,-0.090736955 0.5624683 1.7976708,0.003999032 0.67883474 1.8557519,0.007419982 -0.7283502 1.5887325,0.1497797 -0.7653528 1.5593023,0.12301932 -0.79702824 1.5910935,0.031772703 -0.7840942 1.6653355,0.11638545 -0.7960686 1.5427486,-0.0025738624 -0.7925036 1.5145409
0.008185484 -0.17303415 1.7392181,0.0045106565 -0.3319001 1.6884717,0.002209906 -0.45883286 1.6476343,-0.005653842 -0.65778345 1.6080651,0.0014278074 -0.63144946 1.6448997,0.061307672 -0.6297127 1.7643888,0.25249064 -0.46673533 1.8248196,0.44245362 -0.39231372 1.7512875,0.52949744 -0.37229937 1.7399119,0.6082232 -0.32269856 1.7005434,0.47417015 -0.29042503 1.7225255,-0.012030565 -0.6184013 1.5848324,-0.014758877 -0.55858666 1.4774293,0.20889175 -0.42086825 1.4593033,0.4266814 -0.39650458 1.473579,0.51617265 -0.42712766 1.4948332,0.6044999 -0.46832013 1.5139092,0.52167124 -0.4212212 1.4588033,0.042222343 -0.19753289 1.8134487,0.05626927 0.1751816 1.7817346,-0.0214688 0.52304745 1.8121233,0.13502687 0.5963622 1.8407193,-0.02250705 -0.15094255 1.6722811,-0.0025843885 0.21749775 1.7328833,-0.09050615 0.561249 1.8020848,0.0067847967 0.67812324 1.8554564,0.00366429 -0.73156524 1.5906503,0.14529754 -0.7707027 1.559297,0.117548235 -0.803486 1.589201,0.026300982 -0.79239655 1.6640449,0.111085 -0.7995378 1.5409044,-0.00783819 -0.79110914 1.5127164
0.008072375 -0.1699148 1.7396795,0.009544337 -0.3300657 1.6909105,0.007986469 -0.4584881 1.6532385,-0.0042451327 -0.6569018 1.6086272,0.0037408806 -0.63155675 1.6461707,0.06329794 -0.63772994 1.7662152,0.25731587 -0.48053962 1.8361927,0.44552153 -0.40598014 1.7562423,0.52864873 -0.37652585 1.736552,0.6072365 -0.32137015 1.7039374,0.4747363 -0.29529923 1.7230848,-0.010084699 -0.61668426 1.5863723,-0.015708873 -0.55198646 1.48143,0.21289353 -0.42131108 1.4594738,0.43029058 -0.38763458 1.4730353,0.51878774 -0.4245794 1.4894578,0.6155252 -0.44800058 1.4946781,0.52256566 -0.42448884 1.4573361,0.046468664 -0.1918676 1.8129283,0.060360417 0.18237372 1.7831649,-0.025607154 0.5279312 1.8290459,0.1244237 0.60596174 1.8770897,-0.026551243 -0.15011898 1.6736277,-0.004031541 0.21937004 1.7352921,-0.088567466 0.5644138 1.8089821,0.007558465 0.6791135 1.8703481,0.003467936 -0.7306555 1.5892092,0.1447056 -0.7739682 1.55897,0.115491256 -0.80632395 1.5882703,0.023395352 -0.7932002 1.6624233,0.10971915 -0.8016216 1.5397747,-0.008964211 -0.7891516 1.5101784
0.007978519 -0.16980195 1.7399491,0.009401817 -0.3299148 1.6912379,0.00775099 -0.4583122 1.6536374,-0.0046859113 -0.65667796 1.6091684,0.003254477 -0.63132405 1.6466975,0.062471785 -0.6374063 1.7668666,0.25679162 -0.48087552 1.8371761,0.44531542 -0.4070649 1.7574706,0.52849096 -0.37781954 1.737806,0.6070479 -0.32276043 1.7050551,0.47474042 -0.29654527 1.7239648,-0.0104126 -0.61648184 1.5868765,-0.015512314 -0.55174965 1.4819751,0.21339618 -0.42168444 1.4606119,0.4307544 -0.38867337 1.4752413,0.5185305 -0.425633 1.4949803,0.6143569 -0.45117074 1.5046086,0.5231563 -0.42508665 1.4615154,0.04632487 -0.1917447 1.8131951,0.061554722 0.18238626 1.7842298,-0.023456752 0.52802104 1.8304079,0.12705922 0.6050341 1.8783696,-0.026600072 -0.1500152 1.6739,-0.0042173956 0.21947035 1.7348995,-0.08868724 0.5644649 1.8083229,0.007793486 0.6792503 1.8688293,0.0029530786 -0.7304351 1.5898311,0.14381033 -0.7749738 1.5598404,0.114307016 -0.8070117 1.5891703,0.02227781 -0.7929661 1.6631758,0.10862547 -0.8023671 1.5406743,-0.009881623 -0.7889766 1.5109382
0.007973762 -0.16980281 1.739948,0.009389976 -0.3299149 1.6912313,0.0077270186 -0.45831245 1.6536294,-0.0047465423 -0.6566745 1.6091492,0.0032023275 -0.63132405 1.646679,0.062472347 -0.6374322 1.7668215,0.2568617 -0.48095948 1.837073,0.44536567 -0.40717953 1.7572892,0.5285392 -0.3779497 1.7375908,0.60709393 -0.32290214 1.704814,0.47480044 -0.29665917 1.7237943,-0.010469543 -0.6164758 1.5868604,-0.0155770015 -0.55174357 1.4819587,0.21334648 -0.42171246 1.4605318,0.4307098 -0.3887082 1.4751182,0.51848906 -0.4256789 1.494825,0.61412996 -0.45182806 1.5046589,0.5230849 -0.4251142 1.4612885,0.04632128 -0.19174956 1.8131927,0.06160883 0.18238421 1.7842691,-0.023369014 0.5280246 1.8304818,0.12715004 0.6050085 1.878484,-0.026605885 -0.15001246 1.6739001,-0.004210608 0.21947348 1.734904,-0.08866376 0.5644721 1.8083366,0.007831201 0.6792496 1.8688374,0.0028785495 -0.730432 1.5898062,0.1436871 -0.7750764 1.5597403,0.11417127 -0.8070981 1.5890757,0.022186533 -0.7929971 1.663127,0.10847138 -0.8024368 1.5405833,-0.010039054 -0.78894377 1.5109041
0.00797363 -0.1698028 1.739948,0.009389754 -0.3299149 1.6912313,0.00772665 -0.45831245 1.6536294,-0.004747299 -0.65667444 1.6091492,0.003201629 -0.63132405 1.646679,0.06247117 -0.6374323 1.7668217,0.25686026 -0.48095962 1.837074,0.44536465 -0.4071799 1.7572911,0.5285383 -0.37795013 1.737593,0.6070933 -0.32290265 1.7048166,0.47479966 -0.2966596 1.7237962,-0.01047023 -0.61647576 1.5868603,-0.015577576 -0.5517434 1.4819586,0.2133462 -0.42171276 1.4605317,0.4307096 -0.388709 1.475118,0.5184887 -0.42568013 1.4948246,0.6141281 -0.45183423 1.5046605,0.52308446 -0.42511538 1.4612881,0.04632115 -0.19174957 1.8131927,0.061609153 0.18238413 1.7842691,-0.023368191 0.5280247 1.8304815,0.12715107 0.60500824 1.8784835,-0.02660602 -0.15001243 1.6739001,-0.0042105354 0.21947351 1.7349042,-0.08866352 0.56447214 1.808337,0.007831253 0.6792494 1.8688383,0.002877649 -0.7304319 1.5898062,0.14368585 -0.7750774 1.5597402,0.11416978 -0.8070989 1.5890756,0.022185184 -0.79299736 1.6631268,0.1084699 -0.80243754 1.5405831,-0.01004044 -0.7889435 1.5109041
0.003924419 -0.16688481 1.7417768,0.0053076562 -0.32739997 1.6937122,0.006786621 -0.45565635 1.655074,-0.009628185 -0.6534289 1.6082134,-0.0008734083 -0.6286646 1.6460207,0.058814727 -0.6325739 1.7662243,0.25293088 -0.47991246 1.8460866,0.44760835 -0.4126499 1.7751591,0.52406704 -0.3772628 1.7422762,0.60338163 -0.32627463 1.7047391,0.474239 -0.3003965 1.7244216,-0.014851511 -0.6128123 1.5864525,-0.017956357 -0.5455747 1.4828857,0.21603112 -0.42426783 1.4611578,0.4323904 -0.38536763 1.479562,0.5211052 -0.42421126 1.4897379,0.6184006 -0.4447008 1.4816848,0.5208685 -0.42877096 1.4582672,0.047901463 -0.18761674 1.8122782,0.05991279 0.18757099 1.7906284,-0.01787455 0.53668165 1.8252494,0.13870865 0.6012365 1.8729347,-0.035731617 -0.14818993 1.6782027,-0.012080414 0.2229144 1.7310885,-0.09941034 0.56690156 1.8079332,0.017429873 0.67865163 1.7997242,-0.0034826472 -0.72714794 1.5878657,0.13448007 -0.77993107 1.5569154,0.10378944 -0.8096099 1.5875894,0.01376719 -0.7887327 1.6626699,0.097544625 -0.8059466 1.53902,-0.020713262 -0.78705716 1.510709
0.0035805877 -0.16752954 1.7413011,0.004622695 -0.32794327 1.6935804,0.00591587 -0.45610327 1.6551648,-0.010246047 -0.6539653 1.6096617,-0.0014935555 -0.62897307 1.6472527,0.060863912 -0.6329108 1.7659132,0.2544636 -0.48031434 1.8461565,0.44808078 -0.40917936 1.7769151,0.52471954 -0.37538913 1.7430792,0.60421646 -0.32626018 1.7038124,0.47437963 -0.29906616 1.7239867,-0.015547799 -0.6135462 1.5876698,-0.018406058 -0.5465843 1.4840914,0.21559295 -0.42585135 1.463105,0.43144813 -0.3856637 1.4815395,0.5190966 -0.42599872 1.4938326,0.6113179 -0.46351856 1.4977132,0.51932424 -0.43080497 1.4622166,0.04779304 -0.18814509 1.811566,0.06150357 0.18610834 1.7834378,-0.019127596 0.53425556 1.8168268,0.13534161 0.6006109 1.8680384,-0.03628772 -0.1489396 1.6779401,-0.014709098 0.22205195 1.7293317,-0.09893264 0.5659942 1.8078012,0.017176546 0.6785222 1.8066591,-0.0040241247 -0.7277186 1.589809,0.13360086 -0.7810589 1.559181,0.1031583 -0.81003094 1.5906608,0.013714604 -0.78756213 1.6657504,0.09660819 -0.8074447 1.542121,-0.0216982 -0.7892479 1.5141934
0.0034365978 -0.16962403 1.7453269,0.0040727346 -0.3294527 1.6956533,0.0059626196 -0.4569537 1.6551107,-0.011748202 -0.6547073 1.6096779,-0.0030895022 -0.6297575 1.6473209,0.049786903 -0.63313246 1.7705213,0.24253932 -0.48255968 1.8564572,0.4402552 -0.41666657 1.7939086,0.50959384 -0.37613994 1.75255,0.59018433 -0.33098668 1.7108074,0.47200245 -0.30707905 1.7250535,-0.016449064 -0.6142623 1.5875936,-0.01875555 -0.54600257 1.4848462,0.21625994 -0.42723137 1.4638966,0.43189916 -0.38542065 1.4813219,0.5178149 -0.42714217 1.4997288,0.6107172 -0.46233755 1.5073947,0.5183303 -0.43081293 1.4621898,0.049208783 -0.1909056 1.8143882,0.06687987 0.18251875 1.7783655,-0.017160758 0.5285355 1.8235563,0.14034374 0.5975192 1.85992,-0.037838195 -0.1504335 1.6830512,-0.015256306 0.2209002 1.7315646,-0.09860844 0.564724 1.8115332,0.016355798 0.67795306 1.8010637,-0.0060780277 -0.728545 1.5899627,0.13163093 -0.78313386 1.5619998,0.10055304 -0.81151175 1.5934033,0.010184936 -0.78752637 1.6669074,0.094716154 -0.80950433 1.5447433,-0.023062512 -0.790925 1.5148833
